Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
insertsort,0,20000000,1,0,0.00387263,0.17347,0.00325251,0.17347,3.4694e+06,0.0187501,0.00615896,2.9657,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,20000000,1,0,0.00193661,0.08131,0.00159769,0.08131,1.6262e+06,0.0196502,0.00645691,2.96582,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,20000000,1,0,0.0370892,1.64448,0.0331909,1.64448,32889600,0.0201833,0.00663129,2.96677,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,20000000,1,0,0.00111194,0.04801,0.000903587,0.04801,960200,0.0188208,0.0061856,2.96576,lcdnum,528393,0,139265,65536,0,49152,8193,348164,0,28673,20480,4096
levenshtein,0,20000000,1,0,0.445769,22.58865,0.42516,22.58865,451773000,0.0188219,0.00618255,2.96615,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,164446212,0,8753153,307200,311296
ludcmp,0,20000000,1,0,0.193745,9.57928,0.180655,9.57928,191585600,0.0188589,0.00619401,2.96579,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75030532,0,1441793,978944,1220608
matmult-float,0,20000000,1,0,1.58842,84.15466,1.56651,84.15466,1.68309e+09,0.0186146,0.00611409,2.96596,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657473540,0,12259329,10608640,10665984
matmult-int,0,20000000,1,0,0.90725,45.56296,0.881505,45.56296,9.11259e+08,0.019347,0.00635447,2.96589,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311296004,0,6574081,1642496,3293184
mergesort,0,20000000,1,0,4.58568,244.08304,4.65118,244.08304,4881660800,0.0190557,0.00625909,2.96601,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1863770195,0,36052997,23797764,16490498
minver,0,20000000,1,0,0.0969568,4.69312,0.0890636,4.69312,9.38624e+07,0.0189775,0.00623616,2.9673,minver,63896409,434159,8003052,6463580,0,5292074,669700,35850203,0,669694,225270,655350
