Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
stringsearch1,0,48000000,1,1,0.0491581,1.27328,0.0458305,1.27328,61117440,0.035994,0.0118749,2.97904,stringsearch1,33329161,4096,4440065,2551808,0,3461120,2588673,18878468,0,40961,8192,36864
strstr,0,48000000,1,1,0.00617771,0.15481,0.00554443,0.15481,7430880,0.0358152,0.011816,2.97862,strstr,3661833,0,540673,315392,0,327680,618497,2117636,0,40961,32768,36864
tarai,0,48000000,1,1,0.00298382,0.07564,0.00263534,0.07564,3630720,0.0348406,0.0114941,2.97795,tarai,1261577,0,249857,692224,0,700416,24577,765956,0,86017,73728,81920
trio-snprintf,0,48000000,1,1,0.0662004,1.71132,0.0620296,1.71132,82143360,0.0362467,0.0119579,2.97896,trio-snprintf,44568585,98304,6438913,7290880,0,7389184,724993,26021892,0,995329,581632,528384
trio-sscanf,0,48000000,1,1,0.0717991,1.84976,0.0673957,1.84976,88788480,0.0364348,0.0120204,2.97911,trio-sscanf,45806172,753664,6295624,8425477,0,9433294,1536076,26800466,0,966658,528385,671745
ud,0,48000000,1,1,0.0211373,0.54730,0.0193847,0.54730,26270400,0.0354188,0.0116834,2.97853,ud,14684169,708608,1765377,2891776,0,1105920,528385,8577028,0,196609,110592,81920
whetstone,0,48000000,1,1,14.3146,395.07668,14.7188,395.07668,18963680640,0.0372556,0.0122958,2.98025,whetstone,13426966537,303071232,1044733953,723636224,0,700985344,315977729,7385931780,0,101605377,52797440,56745984
CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Og,0,48000000,1,1,0.642599,15.0603,0.639011,14.9762,718858239,0.0426684,0.0139309,3.06286,CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Og,475809315,68949100,29592304,58608601,0,2836600,1401,296467209,0,1001,600,600
CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Og,0,48000000,1,1,0.653323,15.0603,0.615096,14.9762,718858239,0.0410715,0.0134095,2.94823,CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Og,475809315,68949100,29592304,58608601,0,2836600,1401,296467209,0,1001,600,600
CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Os,0,48000000,1,1,0.611891,13.911,0.608475,13.8333,663999852,0.0439863,0.0143633,3.06241,CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Os,360390311,18667100,35735403,130242601,0,32058800,1501,206366406,0,1001,501,600
CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Os,0,48000000,1,1,0.623157,13.911,0.585875,13.8333,663999852,0.0423526,0.0138298,2.94867,CE_Benchmark-CE-CONV-OPT1-x1-12-12-3-12-Os,360390311,18667100,35735403,130242601,0,32058800,1501,206366406,0,1001,501,600
CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Og,0,48000000,1,1,0.0977772,2.28253,0.0972313,2.26979,108949721,0.0428372,0.013987,3.06268,CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Og,66935115,10542700,4790304,13555201,0,1412600,1401,41695009,0,1001,600,600
CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Og,0,48000000,1,1,0.106638,2.28253,0.0936034,2.26979,108949721,0.0412389,0.0134651,2.94841,CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Og,66935115,10542700,4790304,13555201,0,1412600,1401,41695009,0,1001,600,600
CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Os,0,48000000,1,1,0.099077,2.28666,0.0985238,2.27389,109146855,0.0433282,0.0141479,3.06254,CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Os,60723711,1155100,5920003,19001201,0,6084400,1501,35629806,0,1001,501,600
CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Os,0,48000000,1,1,0.107981,2.28666,0.0948564,2.27389,109146855,0.0417154,0.0136213,2.94854,CE_Benchmark-CE-CONV-OPT1-x1-12-20-1-4-Os,60723711,1155100,5920003,19001201,0,6084400,1501,35629806,0,1001,501,600
CE_Benchmark-CE-CONV-OPT1-x1-12-20-3-4-Og,0,48000000,1,1,0.355118,8.30596,0.353135,8.25959,396460082,0.0427546,0.0139602,3.06262,CE_Benchmark-CE-CONV-OPT1-x1-12-20-3-4-Og,262772815,38190700,16314904,31984901,0,1412600,1401,163809309,0,1001,600,600
CE_Benchmark-CE-CONV-OPT1-x1-12-20-3-4-Og,0,48000000,1,1,0.36909,8.30596,0.339972,8.25959,396460082,0.041161,0.0134398,2.94846,CE_Benchmark-CE-CONV-OPT1-x1-12-20-3-4-Og,262772815,38190700,16314904,31984901,0,1412600,1401,163809309,0,1001,600,600
